p = 191
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2886, targetH = 2886
used: Amax=136, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=307591.16 enum=107747.67 packets=11.08 reduce=118.95 merge=199635.42 setup=1630.63 iso=87.23
checks: packet_checked=625598 packet_merged=423663 f1_checked=218267753 f1_merged=424975 f1_classes=1574 slow_count=6 candidates=478130
bounds: old_min=96 old_median=11040 old_max=13056 new_min=14 new_median=22 new_max=96
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 7 7 0 0 0 -1  |  [ 7  (0,0,0,-1) ; (-1,0,0,1)  7 ]  | det=1? true
[3] 7 8 -2 -1 0 -1  |  [ 7  (-2,-1,0,-1) ; (-3,1,0,1)  8 ]  | det=1? true
[4] 8 8 -3 -2 -1 0  |  [ 8  (-3,-2,-1,0) ; (-3,2,1,0)  8 ]  | det=1? true
[5] 5 10 -1 0 -1 0  |  [ 5  (-1,0,-1,0) ; (-1,0,1,0)  10 ]  | det=1? true
[6] 6 10 -3 -1 -1 0  |  [ 6  (-3,-1,-1,0) ; (-3,1,1,0)  10 ]  | det=1? true
[7] 7 10 -3 -3 0 -1  |  [ 7  (-3,-3,0,-1) ; (-4,3,0,1)  10 ]  | det=1? true
[8] 5 11 -2 0 0 -1  |  [ 5  (-2,0,0,-1) ; (-3,0,0,1)  11 ]  | det=1? true
[9] 5 11 -2 -1 -1 0  |  [ 5  (-2,-1,-1,0) ; (-2,1,1,0)  11 ]  | det=1? true
[10] 9 11 -1 0 -1 -1  |  [ 9  (-1,0,-1,-1) ; (-2,0,1,1)  11 ]  | det=1? true
[11] 11 11 -3 -3 -1 -1  |  [ 11  (-3,-3,-1,-1) ; (-4,3,1,1)  11 ]  | det=1? true
[12] 9 11 -2 0 -1 1  |  [ 9  (-2,0,-1,1) ; (-1,0,1,-1)  11 ]  | det=1? true
[13] 14 14 -2 1 -2 0  |  [ 14  (-2,1,-2,0) ; (-2,-1,2,0)  14 ]  | det=1? true
[14] 13 13 -9 0 -1 1  |  [ 13  (-9,0,-1,1) ; (-8,0,1,-1)  13 ]  | det=1? true
[15] 9 13 -4 0 -1 -1  |  [ 9  (-4,0,-1,-1) ; (-5,0,1,1)  13 ]  | det=1? true
[16] 4 13 -1 -1 0 -1  |  [ 4  (-1,-1,0,-1) ; (-2,1,0,1)  13 ]  | det=1? true
