p = 107
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 581, targetH = 581
used: Amax=92, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=46665.46 enum=7037.66 packets=2.88 reduce=30.21 merge=39584.52 setup=33115.35 iso=227.54
checks: checked=46370722 merged=182208 slow_count=2413 candidates=183762
bounds: old_min=54 old_median=4158 old_max=4968 new_min=12 new_median=18 new_max=54
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 5 6 -1 0 0 -1  |  [ 5  (-1,0,0,-1) ; (-2,0,0,1)  6 ]  | det=1? true
[3] 4 7 0 0 0 -1  |  [ 4  (0,0,0,-1) ; (-1,0,0,1)  7 ]  | det=1? true
[4] 5 7 -2 -1 0 -1  |  [ 5  (-2,-1,0,-1) ; (-3,1,0,1)  7 ]  | det=1? true
[5] 7 7 -3 -3 0 -1  |  [ 7  (-3,-3,0,-1) ; (-4,3,0,1)  7 ]  | det=1? true
[6] 4 8 -2 0 -1 0  |  [ 4  (-2,0,-1,0) ; (-2,0,1,0)  8 ]  | det=1? true
[7] 7 9 -2 -1 -1 -1  |  [ 7  (-2,-1,-1,-1) ; (-3,1,1,1)  9 ]  | det=1? true
[8] 7 9 -3 -1 -1 1  |  [ 7  (-3,-1,-1,1) ; (-2,1,1,-1)  9 ]  | det=1? true
[9] 9 9 -4 -2 -1 -1  |  [ 9  (-4,-2,-1,-1) ; (-5,2,1,1)  9 ]  | det=1? true
[10] 9 9 -5 -2 -1 1  |  [ 9  (-5,-2,-1,1) ; (-4,2,1,-1)  9 ]  | det=1? true
[11] 3 10 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  10 ]  | det=1? true
[12] 11 11 -2 -2 0 -2  |  [ 11  (-2,-2,0,-2) ; (-4,2,0,2)  11 ]  | det=1? true
[13] 10 11 -1 0 -2 0  |  [ 10  (-1,0,-2,0) ; (-1,0,2,0)  11 ]  | det=1? true
[14] 5 11 0 0 -1 -1  |  [ 5  (0,0,-1,-1) ; (-1,0,1,1)  11 ]  | det=1? true
[15] 11 11 -3 -1 -2 0  |  [ 11  (-3,-1,-2,0) ; (-3,1,2,0)  11 ]  | det=1? true
[16] 12 12 -6 1 -2 0  |  [ 12  (-6,1,-2,0) ; (-6,-1,2,0)  12 ]  | det=1? true
[17] 12 12 -5 0 0 -2  |  [ 12  (-5,0,0,-2) ; (-7,0,0,2)  12 ]  | det=1? true
[18] 9 12 0 1 -2 0  |  [ 9  (0,1,-2,0) ; (0,-1,2,0)  12 ]  | det=1? true
[19] 12 12 -2 0 -1 -2  |  [ 12  (-2,0,-1,-2) ; (-4,0,1,2)  12 ]  | det=1? true
[20] 12 12 -4 0 -1 2  |  [ 12  (-4,0,-1,2) ; (-2,0,1,-2)  12 ]  | det=1? true
[21] 12 13 -3 -2 -2 -1  |  [ 12  (-3,-2,-2,-1) ; (-4,2,2,1)  13 ]  | det=1? true
[22] 12 13 -4 -2 -2 1  |  [ 12  (-4,-2,-2,1) ; (-3,2,2,-1)  13 ]  | det=1? true
[23] 13 13 -6 -4 -2 0  |  [ 13  (-6,-4,-2,0) ; (-6,4,2,0)  13 ]  | det=1? true
[24] 8 14 -2 1 -2 0  |  [ 8  (-2,1,-2,0) ; (-2,-1,2,0)  14 ]  | det=1? true
[25] 9 14 -3 -2 -2 0  |  [ 9  (-3,-2,-2,0) ; (-3,2,2,0)  14 ]  | det=1? true
[26] 14 14 -6 -3 -1 -2  |  [ 14  (-6,-3,-1,-2) ; (-8,3,1,2)  14 ]  | det=1? true
[27] 14 14 -8 -3 -1 2  |  [ 14  (-8,-3,-1,2) ; (-6,3,1,-2)  14 ]  | det=1? true
[28] 9 13 -3 1 -2 0  |  [ 9  (-3,1,-2,0) ; (-3,-1,2,0)  13 ]  | det=1? true
[29] 12 13 -4 0 -2 -1  |  [ 12  (-4,0,-2,-1) ; (-5,0,2,1)  13 ]  | det=1? true
[30] 13 13 -5 -1 -2 -1  |  [ 13  (-5,-1,-2,-1) ; (-6,1,2,1)  13 ]  | det=1? true
[31] 13 13 -6 -1 -2 1  |  [ 13  (-6,-1,-2,1) ; (-5,1,2,-1)  13 ]  | det=1? true
[32] 12 13 -5 0 -2 1  |  [ 12  (-5,0,-2,1) ; (-4,0,2,-1)  13 ]  | det=1? true
[33] 2 14 0 0 0 -1  |  [ 2  (0,0,0,-1) ; (-1,0,0,1)  14 ]  | det=1? true
[34] 11 15 -5 1 -2 -1  |  [ 11  (-5,1,-2,-1) ; (-6,-1,2,1)  15 ]  | det=1? true
[35] 11 15 -6 1 -2 1  |  [ 11  (-6,1,-2,1) ; (-5,-1,2,-1)  15 ]  | det=1? true
[36] 15 15 -2 0 -2 -2  |  [ 15  (-2,0,-2,-2) ; (-4,0,2,2)  15 ]  | det=1? true
[37] 15 15 -4 0 -2 2  |  [ 15  (-4,0,-2,2) ; (-2,0,2,-2)  15 ]  | det=1? true
[38] 7 16 -2 1 -2 0  |  [ 7  (-2,1,-2,0) ; (-2,-1,2,0)  16 ]  | det=1? true
[39] 15 16 -7 -6 -2 -1  |  [ 15  (-7,-6,-2,-1) ; (-8,6,2,1)  16 ]  | det=1? true
[40] 12 15 -6 -4 -1 2  |  [ 12  (-6,-4,-1,2) ; (-4,4,1,-2)  15 ]  | det=1? true
[41] 8 16 -3 -2 0 -2  |  [ 8  (-3,-2,0,-2) ; (-5,2,0,2)  16 ]  | det=1? true
[42] 9 16 -2 0 -1 -2  |  [ 9  (-2,0,-1,-2) ; (-4,0,1,2)  16 ]  | det=1? true
[43] 15 16 -3 -2 -2 -2  |  [ 15  (-3,-2,-2,-2) ; (-5,2,2,2)  16 ]  | det=1? true
[44] 15 16 -5 -2 -2 2  |  [ 15  (-5,-2,-2,2) ; (-3,2,2,-2)  16 ]  | det=1? true
[45] 16 16 -4 -3 -2 -2  |  [ 16  (-4,-3,-2,-2) ; (-6,3,2,2)  16 ]  | det=1? true
[46] 16 16 -6 -3 -2 2  |  [ 16  (-6,-3,-2,2) ; (-4,3,2,-2)  16 ]  | det=1? true
[47] 9 15 0 1 -2 -1  |  [ 9  (0,1,-2,-1) ; (-1,-1,2,1)  15 ]  | det=1? true
[48] 9 15 -1 1 -2 1  |  [ 9  (-1,1,-2,1) ; (0,-1,2,-1)  15 ]  | det=1? true
[49] 10 15 -2 -2 -1 -2  |  [ 10  (-2,-2,-1,-2) ; (-4,2,1,2)  15 ]  | det=1? true
[50] 10 15 -4 -2 -1 2  |  [ 10  (-4,-2,-1,2) ; (-2,2,1,-2)  15 ]  | det=1? true
[51] 12 15 -4 -4 -1 -2  |  [ 12  (-4,-4,-1,-2) ; (-6,4,1,2)  15 ]  | det=1? true
[52] 10 16 -4 0 -1 -2  |  [ 10  (-4,0,-1,-2) ; (-6,0,1,2)  16 ]  | det=1? true
[53] 10 16 -6 0 -1 2  |  [ 10  (-6,0,-1,2) ; (-4,0,1,-2)  16 ]  | det=1? true
[54] 15 16 -4 1 -2 -2  |  [ 15  (-4,1,-2,-2) ; (-6,-1,2,2)  16 ]  | det=1? true
[55] 15 16 -6 1 -2 2  |  [ 15  (-6,1,-2,2) ; (-4,-1,2,-2)  16 ]  | det=1? true
[56] 17 17 -4 1 -3 -1  |  [ 17  (-4,1,-3,-1) ; (-5,-1,3,1)  17 ]  | det=1? true
[57] 17 17 -5 1 -3 1  |  [ 17  (-5,1,-3,1) ; (-4,-1,3,-1)  17 ]  | det=1? true
[58] 17 17 -3 0 -1 -3  |  [ 17  (-3,0,-1,-3) ; (-6,0,1,3)  17 ]  | det=1? true
[59] 17 17 -6 0 -1 3  |  [ 17  (-6,0,-1,3) ; (-3,0,1,-3)  17 ]  | det=1? true
[60] 15 17 -5 -1 -2 -2  |  [ 15  (-5,-1,-2,-2) ; (-7,1,2,2)  17 ]  | det=1? true
[61] 17 17 -6 -4 -2 -2  |  [ 17  (-6,-4,-2,-2) ; (-8,4,2,2)  17 ]  | det=1? true
[62] 17 17 -8 -4 -2 2  |  [ 17  (-8,-4,-2,2) ; (-6,4,2,-2)  17 ]  | det=1? true
[63] 14 18 -5 0 -2 -2  |  [ 14  (-5,0,-2,-2) ; (-7,0,2,2)  18 ]  | det=1? true
[64] 17 18 -12 -1 -1 -2  |  [ 17  (-12,-1,-1,-2) ; (-14,1,1,2)  18 ]  | det=1? true
[65] 9 17 -5 -1 -1 2  |  [ 9  (-5,-1,-1,2) ; (-3,1,1,-2)  17 ]  | det=1? true
[66] 6 18 0 1 -2 0  |  [ 6  (0,1,-2,0) ; (0,-1,2,0)  18 ]  | det=1? true
