p = 179
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2404, targetH = 2404
used: Amax=128, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=236150.09 enum=70289.32 packets=14.11 reduce=102.36 merge=165696.1 setup=1437.9 iso=95.51
checks: packet_checked=620557 packet_merged=397527 f1_checked=159810194 f1_merged=398715 f1_classes=1216 slow_count=5 candidates=403784
bounds: old_min=90 old_median=9720 old_max=11520 new_min=14 new_median=22 new_max=90
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 7 7 -1 -1 0 -1  |  [ 7  (-1,-1,0,-1) ; (-2,1,0,1)  7 ]  | det=1? true
[3] 6 8 -1 0 0 -1  |  [ 6  (-1,0,0,-1) ; (-2,0,0,1)  8 ]  | det=1? true
[4] 7 8 -2 -2 0 -1  |  [ 7  (-2,-2,0,-1) ; (-3,2,0,1)  8 ]  | det=1? true
[5] 8 8 -4 -1 -1 0  |  [ 8  (-4,-1,-1,0) ; (-4,1,1,0)  8 ]  | det=1? true
[6] 5 10 -2 0 -1 0  |  [ 5  (-2,0,-1,0) ; (-2,0,1,0)  10 ]  | det=1? true
[7] 11 11 -5 0 -1 -1  |  [ 11  (-5,0,-1,-1) ; (-6,0,1,1)  11 ]  | det=1? true
[8] 9 11 -2 -1 -1 -1  |  [ 9  (-2,-1,-1,-1) ; (-3,1,1,1)  11 ]  | det=1? true
[9] 9 11 -3 -1 -1 1  |  [ 9  (-3,-1,-1,1) ; (-2,1,1,-1)  11 ]  | det=1? true
[10] 4 12 -1 0 0 -1  |  [ 4  (-1,0,0,-1) ; (-2,0,0,1)  12 ]  | det=1? true
[11] 14 14 -4 1 -2 0  |  [ 14  (-4,1,-2,0) ; (-4,-1,2,0)  14 ]  | det=1? true
[12] 14 14 -3 0 0 -2  |  [ 14  (-3,0,0,-2) ; (-5,0,0,2)  14 ]  | det=1? true
[13] 13 14 -1 0 -2 0  |  [ 13  (-1,0,-2,0) ; (-1,0,2,0)  14 ]  | det=1? true
[14] 9 13 -4 -2 -1 -1  |  [ 9  (-4,-2,-1,-1) ; (-5,2,1,1)  13 ]  | det=1? true
[15] 9 13 -5 -2 -1 1  |  [ 9  (-5,-2,-1,1) ; (-4,2,1,-1)  13 ]  | det=1? true
[16] 7 13 0 0 -1 -1  |  [ 7  (0,0,-1,-1) ; (-1,0,1,1)  13 ]  | det=1? true
[17] 4 13 -2 -1 -1 0  |  [ 4  (-2,-1,-1,0) ; (-2,1,1,0)  13 ]  | det=1? true
[18] 15 15 -6 -2 -2 0  |  [ 15  (-6,-2,-2,0) ; (-6,2,2,0)  15 ]  | det=1? true
[19] 15 15 0 1 -2 -1  |  [ 15  (0,1,-2,-1) ; (-1,-1,2,1)  15 ]  | det=1? true
