p = 83
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 296, targetH = 296, reps_seen = 72103
used: Amax=68, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=9324.01 enum=1276.23 packets=1.32 reduce=21.05 merge=8020.13 setup=6504.47 iso=105.53
checks: checked=9429856 merged=71807 slow_count=467 candidates=72103
bounds: old_min=42 old_median=2394 old_max=2856 new_min=10 new_median=14 new_max=42
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[1] 1 1 0 0 0 0  |  [ 1  (0,0,0,0) ; (0,0,0,0)  1 ]  | det=1? true
[2] 5 5 -1 -1 0 -1  |  [ 5  (-1,-1,0,-1) ; (-2,1,0,1)  5 ]  | det=1? true
[3] 4 6 -1 0 0 -1  |  [ 4  (-1,0,0,-1) ; (-2,0,0,1)  6 ]  | det=1? true
[4] 4 7 -2 -1 -1 0  |  [ 4  (-2,-1,-1,0) ; (-2,1,1,0)  7 ]  | det=1? true
[5] 7 7 -2 0 -1 -1  |  [ 7  (-2,0,-1,-1) ; (-3,0,1,1)  7 ]  | det=1? true
[6] 7 7 -3 0 -1 1  |  [ 7  (-3,0,-1,1) ; (-2,0,1,-1)  7 ]  | det=1? true
[7] 3 8 -1 0 0 -1  |  [ 3  (-1,0,0,-1) ; (-2,0,0,1)  8 ]  | det=1? true
[8] 5 9 -1 0 -1 -1  |  [ 5  (-1,0,-1,-1) ; (-2,0,1,1)  9 ]  | det=1? true
[9] 5 9 -2 0 -1 1  |  [ 5  (-2,0,-1,1) ; (-1,0,1,-1)  9 ]  | det=1? true
[10] 10 10 -4 1 -2 0  |  [ 10  (-4,1,-2,0) ; (-4,-1,2,0)  10 ]  | det=1? true
[11] 10 10 -3 0 0 -2  |  [ 10  (-3,0,0,-2) ; (-5,0,0,2)  10 ]  | det=1? true
[12] 2 11 0 0 0 -1  |  [ 2  (0,0,0,-1) ; (-1,0,0,1)  11 ]  | det=1? true
[13] 5 11 -2 -2 -1 -1  |  [ 5  (-2,-2,-1,-1) ; (-3,2,1,1)  11 ]  | det=1? true
[14] 8 11 -2 1 -2 0  |  [ 8  (-2,1,-2,0) ; (-2,-1,2,0)  11 ]  | det=1? true
[15] 10 11 -4 -1 0 -2  |  [ 10  (-4,-1,0,-2) ; (-6,1,0,2)  11 ]  | det=1? true
[16] 11 11 -3 0 -1 -2  |  [ 11  (-3,0,-1,-2) ; (-5,0,1,2)  11 ]  | det=1? true
[17] 11 11 -5 0 -1 2  |  [ 11  (-5,0,-1,2) ; (-3,0,1,-2)  11 ]  | det=1? true
